Station_no,state,start,end,elev,lat,lon,name
NA,NT,1885,2018,88.5,-16.403,131.0145,VICTORIA RIVER DOWNS
NA,NT,2003,2018,416,-13.3275,133.0861,CENTRAL ARNHEM PLATEAU
NA,SA,2005,2018,41.1,-33.9703,137.6628,KADINA AWS
NA,SA,2002,2018,158,-35.7549,136.5959,CAPE BORDA
NA,SA,1839,2018,29.3,-34.9257,138.5832,ADELAIDE (WEST TERRACE / NGAYIRDA
NA,SA,1864,2018,3,-35.6902,139.3375,MENINGIE
NA,QLD,1869,2018,99.9,-27.0314,153.4661,CAPE MORETON LIGHTHOUSE
NA,QLD,1999,2018,8.1,-27.4808,153.0389,BRISBANE
NA,QLD,1994,2018,475.4,-28.2061,152.1003,WARWICK
NA,NSW,1994,2018,20.9,-28.8824,153.0618,CASINO AIRPORT AWS
NA,NSW,1989,2018,80,-33.6185,150.2741,MOUNT BOYCE AWS
NA,NSW,1858,2018,39,-33.8607,151.205,SYDNEY (OBSERVATORY HILL)
NA,NSW,1993,2018,19,-33.6004,150.7761,RICHMOND RAAF
NA,ACT,2008,2018,577.1,-35.3088,149.2004,CANBERRA AIRPORT
NA,NSW,1966,2018,957,-36.4917,148.2859,THREDBO AWS
NA,VIC,1942,2018,114,-36.4378,145.2672,TATURA INST SUSTAINABLE AG
NA,VIC,1991,2018,561,-37.8383,146.2747,MOUNT BAW BAW
NA,VIC,1975,2018,9,-38.3065,144.8016,SOUTH CHANNEL ISLAND
NA,WA,1983,2018,14,-32.2208,115.8075,MEDINA RESEARCH CENTRE
NA,WA,1993,2018,24.9,-31.9192,115.8728,PERTH METRO
